slot_id,section_id,slot_type,train_category,start_time,end_time,confidence
SLOT-000001,NDLS-GZB,passenger_timetable,Express,2026-09-07 06:00:00,2026-09-07 06:16:00,0.98
SLOT-000002,NDLS-GZB,passenger_timetable,Superfast,2026-09-07 06:44:00,2026-09-07 07:02:00,0.98
SLOT-000003,NDLS-GZB,passenger_timetable,Express,2026-09-07 07:22:00,2026-09-07 07:38:00,0.98
SLOT-000004,NDLS-GZB,passenger_timetable,Express,2026-09-07 07:55:00,2026-09-07 08:16:00,0.98
SLOT-000005,NDLS-GZB,passenger_timetable,Superfast,2026-09-07 08:43:00,2026-09-07 08:59:00,0.98
SLOT-000006,NDLS-GZB,passenger_timetable,Express,2026-09-07 09:13:00,2026-09-07 09:36:00,0.98
SLOT-000007,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-07 09:55:00,2026-09-07 10:13:00,0.98
SLOT-000008,NDLS-GZB,passenger_timetable,Passenger,2026-09-07 10:39:00,2026-09-07 11:01:00,0.98
SLOT-000009,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-07 11:20:00,2026-09-07 11:37:00,0.98
SLOT-000010,NDLS-GZB,passenger_timetable,Superfast,2026-09-07 11:51:00,2026-09-07 12:10:00,0.98
SLOT-000011,NDLS-GZB,passenger_timetable,Express,2026-09-07 12:31:00,2026-09-07 12:51:00,0.98
SLOT-000012,NDLS-GZB,passenger_timetable,Express,2026-09-07 13:09:00,2026-09-07 13:30:00,0.98
SLOT-000013,NDLS-GZB,passenger_timetable,Passenger,2026-09-07 13:45:00,2026-09-07 14:05:00,0.98
SLOT-000014,NDLS-GZB,passenger_timetable,Express,2026-09-07 14:27:00,2026-09-07 14:49:00,0.98
SLOT-000015,NDLS-GZB,passenger_timetable,Passenger,2026-09-07 15:04:00,2026-09-07 15:20:00,0.98
SLOT-000016,NDLS-GZB,passenger_timetable,Passenger,2026-09-07 15:42:00,2026-09-07 16:06:00,0.98
SLOT-000017,NDLS-GZB,passenger_timetable,Express,2026-09-07 16:34:00,2026-09-07 16:52:00,0.98
SLOT-000018,NDLS-GZB,passenger_timetable,Superfast,2026-09-07 17:19:00,2026-09-07 17:44:00,0.98
SLOT-000019,NDLS-GZB,passenger_timetable,Superfast,2026-09-07 17:59:00,2026-09-07 18:15:00,0.98
SLOT-000020,NDLS-GZB,passenger_timetable,Passenger,2026-09-07 18:35:00,2026-09-07 18:56:00,0.98
SLOT-000021,NDLS-GZB,passenger_timetable,Passenger,2026-09-07 19:12:00,2026-09-07 19:37:00,0.98
SLOT-000022,NDLS-GZB,passenger_timetable,Passenger,2026-09-07 20:01:00,2026-09-07 20:21:00,0.98
SLOT-000023,NDLS-GZB,passenger_timetable,Passenger,2026-09-07 20:38:00,2026-09-07 21:03:00,0.98
SLOT-000024,NDLS-GZB,passenger_timetable,Superfast,2026-09-07 21:21:00,2026-09-07 21:37:00,0.98
SLOT-000025,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-07 22:00:00,2026-09-07 22:18:00,0.95
SLOT-000026,NDLS-GZB,passenger_timetable,Special Express,2026-09-07 23:25:00,2026-09-07 23:46:00,0.95
SLOT-000027,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-08 00:49:00,2026-09-08 01:12:00,0.95
SLOT-000028,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-08 02:23:00,2026-09-08 02:38:00,0.95
SLOT-000029,NDLS-GZB,passenger_timetable,Special Express,2026-09-08 03:35:00,2026-09-08 03:55:00,0.95
SLOT-000030,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-08 04:39:00,2026-09-08 04:55:00,0.95
SLOT-000031,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-08 05:50:00,2026-09-08 06:10:00,0.95
SLOT-000032,NDLS-GZB,goods_forecast,Auto Rake,2026-09-07 22:00:00,2026-09-07 22:40:00,0.83
SLOT-000033,NDLS-GZB,goods_forecast,Coal/Mineral Rake,2026-09-07 23:19:00,2026-09-07 23:58:00,0.74
SLOT-000034,NDLS-GZB,goods_forecast,Auto Rake,2026-09-08 00:37:00,2026-09-08 01:10:00,0.83
SLOT-000035,NDLS-GZB,goods_forecast,Coal/Mineral Rake,2026-09-08 01:40:00,2026-09-08 02:16:00,0.85
SLOT-000036,NDLS-GZB,goods_forecast,Container Freight,2026-09-08 02:49:00,2026-09-08 03:29:00,0.81
SLOT-000037,NDLS-GZB,goods_forecast,Coal/Mineral Rake,2026-09-08 03:56:00,2026-09-08 04:24:00,0.79
SLOT-000038,NDLS-GZB,goods_forecast,Container Freight,2026-09-08 05:08:00,2026-09-08 05:46:00,0.76
SLOT-000039,NDLS-GZB,goods_forecast,Goods Freight,2026-09-07 06:00:00,2026-09-07 06:33:00,0.75
SLOT-000040,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-07 08:12:00,2026-09-07 08:45:00,0.67
SLOT-000041,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-07 09:52:00,2026-09-07 10:22:00,0.65
SLOT-000042,NDLS-GZB,goods_forecast,Goods Freight,2026-09-07 11:58:00,2026-09-07 12:28:00,0.78
SLOT-000043,NDLS-GZB,goods_forecast,Goods Freight,2026-09-07 13:48:00,2026-09-07 14:19:00,0.71
SLOT-000044,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-07 15:43:00,2026-09-07 16:08:00,0.72
SLOT-000045,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-07 17:19:00,2026-09-07 17:55:00,0.69
SLOT-000046,NDLS-GZB,goods_forecast,Goods Freight,2026-09-07 19:02:00,2026-09-07 19:29:00,0.76
SLOT-000047,NDLS-GZB,goods_forecast,Goods Freight,2026-09-07 20:47:00,2026-09-07 21:16:00,0.75
SLOT-000048,NDLS-GZB,passenger_timetable,Passenger,2026-09-08 06:00:00,2026-09-08 06:17:00,0.98
SLOT-000049,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-08 06:43:00,2026-09-08 07:07:00,0.98
SLOT-000050,NDLS-GZB,passenger_timetable,Superfast,2026-09-08 07:32:00,2026-09-08 07:55:00,0.98
SLOT-000051,NDLS-GZB,passenger_timetable,Passenger,2026-09-08 08:13:00,2026-09-08 08:34:00,0.98
SLOT-000052,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-08 08:54:00,2026-09-08 09:17:00,0.98
SLOT-000053,NDLS-GZB,passenger_timetable,Superfast,2026-09-08 09:41:00,2026-09-08 09:59:00,0.98
SLOT-000054,NDLS-GZB,passenger_timetable,Express,2026-09-08 10:15:00,2026-09-08 10:35:00,0.98
SLOT-000055,NDLS-GZB,passenger_timetable,Superfast,2026-09-08 10:50:00,2026-09-08 11:13:00,0.98
SLOT-000056,NDLS-GZB,passenger_timetable,Express,2026-09-08 11:40:00,2026-09-08 11:58:00,0.98
SLOT-000057,NDLS-GZB,passenger_timetable,Express,2026-09-08 12:25:00,2026-09-08 12:50:00,0.98
SLOT-000058,NDLS-GZB,passenger_timetable,Express,2026-09-08 13:05:00,2026-09-08 13:21:00,0.98
SLOT-000059,NDLS-GZB,passenger_timetable,Superfast,2026-09-08 13:40:00,2026-09-08 13:56:00,0.98
SLOT-000060,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-08 14:17:00,2026-09-08 14:42:00,0.98
SLOT-000061,NDLS-GZB,passenger_timetable,Superfast,2026-09-08 15:02:00,2026-09-08 15:25:00,0.98
SLOT-000062,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-08 15:43:00,2026-09-08 16:07:00,0.98
SLOT-000063,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-08 16:34:00,2026-09-08 16:56:00,0.98
SLOT-000064,NDLS-GZB,passenger_timetable,Express,2026-09-08 17:15:00,2026-09-08 17:31:00,0.98
SLOT-000065,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-08 17:49:00,2026-09-08 18:09:00,0.98
SLOT-000066,NDLS-GZB,passenger_timetable,Express,2026-09-08 18:32:00,2026-09-08 18:54:00,0.98
SLOT-000067,NDLS-GZB,passenger_timetable,Express,2026-09-08 19:17:00,2026-09-08 19:42:00,0.98
SLOT-000068,NDLS-GZB,passenger_timetable,Passenger,2026-09-08 20:10:00,2026-09-08 20:31:00,0.98
SLOT-000069,NDLS-GZB,passenger_timetable,Superfast,2026-09-08 20:46:00,2026-09-08 21:04:00,0.98
SLOT-000070,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-08 21:20:00,2026-09-08 21:43:00,0.98
SLOT-000071,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-08 22:00:00,2026-09-08 22:21:00,0.95
SLOT-000072,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-08 23:09:00,2026-09-08 23:31:00,0.95
SLOT-000073,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-09 00:26:00,2026-09-09 00:48:00,0.95
SLOT-000074,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-09 01:33:00,2026-09-09 01:58:00,0.95
SLOT-000075,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-09 02:43:00,2026-09-09 03:01:00,0.95
SLOT-000076,NDLS-GZB,passenger_timetable,Special Express,2026-09-09 03:47:00,2026-09-09 04:09:00,0.95
SLOT-000077,NDLS-GZB,passenger_timetable,Mail/Express,2026-09-09 05:10:00,2026-09-09 05:31:00,0.95
SLOT-000078,NDLS-GZB,goods_forecast,Container Freight,2026-09-08 22:00:00,2026-09-08 22:37:00,0.85
SLOT-000079,NDLS-GZB,goods_forecast,BoxN Freight,2026-09-08 23:05:00,2026-09-08 23:44:00,0.76
SLOT-000080,NDLS-GZB,goods_forecast,Coal/Mineral Rake,2026-09-09 00:14:00,2026-09-09 00:54:00,0.73
SLOT-000081,NDLS-GZB,goods_forecast,Container Freight,2026-09-09 01:40:00,2026-09-09 02:06:00,0.81
SLOT-000082,NDLS-GZB,goods_forecast,Auto Rake,2026-09-09 02:35:00,2026-09-09 03:01:00,0.78
SLOT-000083,NDLS-GZB,goods_forecast,Container Freight,2026-09-09 03:26:00,2026-09-09 03:56:00,0.84
SLOT-000084,NDLS-GZB,goods_forecast,Container Freight,2026-09-09 04:40:00,2026-09-09 05:10:00,0.79
SLOT-000085,NDLS-GZB,goods_forecast,Auto Rake,2026-09-09 05:36:00,2026-09-09 06:08:00,0.72
SLOT-000086,NDLS-GZB,goods_forecast,Goods Freight,2026-09-08 06:00:00,2026-09-08 06:26:00,0.71
SLOT-000087,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-08 07:45:00,2026-09-08 08:20:00,0.68
SLOT-000088,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-08 10:04:00,2026-09-08 10:36:00,0.71
SLOT-000089,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-08 12:01:00,2026-09-08 12:40:00,0.79
SLOT-000090,NDLS-GZB,goods_forecast,Parcel Cargo,2026-09-08 14:04:00,2026-09-08 14:29:00,0.74
SLOT-000091,NDLS-GZB,goods_forecast,Goods Freight,2026-09-08 15:32:00,2026-09-08 15:59:00,0.73
SLOT-000092,NDLS-GZB,goods_forecast,Goods Freight,2026-09-08 17:04:00,2026-09-08 17:40:00,0.78
SLOT-000093,NDLS-GZB,goods_forecast,Goods Freight,2026-09-08 18:48:00,2026-09-08 19:22:00,0.72
SLOT-000094,NDLS-GZB,goods_forecast,Goods Freight,2026-09-08 20:52:00,2026-09-08 21:26:00,0.75
SLOT-000095,NDLS-GZB,passenger_timetable,Express,2026-09-09 06:00:00,2026-09-09 06:19:00,0.98
SLOT-000096,NDLS-GZB,passenger_timetable,Express,2026-09-09 06:45:00,2026-09-09 07:04:00,0.98
SLOT-000097,NDLS-GZB,passenger_timetable,Superfast,2026-09-09 07:21:00,2026-09-09 07:44:00,0.98
SLOT-000098,NDLS-GZB,passenger_timetable,Superfast,2026-09-09 08:00:00,2026-09-09 08:19:00,0.98
SLOT-000099,NDLS-GZB,passenger_timetable,Passenger,2026-09-09 08:39:00,2026-09-09 08:57:00,0.98
SLOT-000100,NDLS-GZB,passenger_timetable,Passenger,2026-09-09 09:18:00,2026-09-09 09:40:00,0.98
SLOT-000101,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-09 10:05:00,2026-09-09 10:21:00,0.98
SLOT-000102,NDLS-GZB,passenger_timetable,Express,2026-09-09 10:36:00,2026-09-09 10:51:00,0.98
SLOT-000103,NDLS-GZB,passenger_timetable,Passenger,2026-09-09 11:11:00,2026-09-09 11:28:00,0.98
SLOT-000104,NDLS-GZB,passenger_timetable,Vande Bharat,2026-09-09 11:49:00,2026-09-09 12:11:00,0.98
SLOT-000105,NDLS-GZB,passenger_timetable,Express,2026-09-09 12:28:00,2026-09-09 12:43:00,0.98
SLOT-000106,NDLS-GZB,passenger_timetable,Express,2026-09-09 13:09:00,2026-09-09 13:26:00,0.98
SLOT-000107,NDLS-GZB,passenger_timetable,Superfast,2026-09-09 13:41:00,2026-09-09 14:05:00,0.98
SLOT-000108,NDLS-GZB,passenger_timetable,Express,2026-09-09 14:27:00,2026-09-09 14:44:00,0.98
