request_id,asset_id,department,section_id,defect_type,criticality,overdue_days,asset_stress_index,is_monsoon,days_since_last_inspection,failure_count_last_year,is_critical_defect,requested_window_start,requested_window_end,section_traffic_density
REQ-00001,AST-TRD-047,Traction Distribution,SBC-JTJ,traction_fault,Low,4,0.717,0,128,4,False,2026-10-04 02:00:00,2026-10-04 06:00:00,38
REQ-00002,AST-ENG-064,Engineering,PUNE-DD,track_defect,Medium,27,0.708,1,34,6,False,2026-09-10 13:00:00,2026-09-10 16:00:00,38
REQ-00003,AST-ENG-159,Engineering,BZA-VSKP,track_defect,Medium,78,0.301,1,31,4,False,2026-09-24 00:00:00,2026-09-24 04:00:00,41
REQ-00004,AST-TRD-058,Traction Distribution,MAS-AJJ,traction_fault,Low,36,0.614,1,104,6,False,2026-09-29 13:00:00,2026-09-29 17:00:00,44
REQ-00005,AST-SNT-032,Signal & Telecom,HWH-BWN,signal_fault,Medium,10,0.604,0,50,6,False,2026-10-04 04:00:00,2026-10-04 09:00:00,46
REQ-00006,AST-ENG-136,Engineering,GHY-NJP,track_defect,Medium,15,0.764,1,50,8,False,2026-09-27 00:00:00,2026-09-27 02:00:00,34
REQ-00007,AST-ENG-038,Engineering,SBC-JTJ,track_defect,Medium,8,0.669,1,48,5,False,2026-09-19 22:00:00,2026-09-20 03:00:00,38
REQ-00008,AST-ENG-064,Engineering,PUNE-DD,track_defect,Low,24,0.715,1,40,6,False,2026-09-16 15:00:00,2026-09-16 17:00:00,38
REQ-00009,AST-TRD-034,Traction Distribution,HWH-BWN,traction_fault,Low,68,0.441,1,91,3,True,2026-09-12 00:00:00,2026-09-12 02:00:00,46
REQ-00010,AST-TRD-131,Traction Distribution,ALD-MGS,traction_fault,Low,31,0.492,1,101,4,False,2026-09-20 23:00:00,2026-09-21 04:00:00,45
REQ-00011,AST-SNT-042,Signal & Telecom,SBC-JTJ,signal_fault,Low,64,0.543,0,64,3,True,2026-10-01 02:00:00,2026-10-01 06:00:00,38
REQ-00012,AST-ENG-051,Engineering,MAS-AJJ,track_defect,High,26,0.571,1,64,3,False,2026-09-28 23:00:00,2026-09-29 03:00:00,44
REQ-00013,AST-TRD-082,Traction Distribution,ADI-BRC,traction_fault,Medium,19,0.39,1,130,1,False,2026-09-26 00:00:00,2026-09-26 02:00:00,42
REQ-00014,AST-TRD-046,Traction Distribution,SBC-JTJ,traction_fault,High,28,0.432,0,99,5,False,2026-10-01 04:00:00,2026-10-01 08:00:00,38
REQ-00015,AST-TRD-024,Traction Distribution,CSMT-KYN,traction_fault,Medium,8,0.497,1,104,5,False,2026-09-07 23:00:00,2026-09-08 04:00:00,48
REQ-00016,AST-TRD-081,Traction Distribution,ADI-BRC,traction_fault,Low,74,0.54,1,157,2,True,2026-09-24 11:00:00,2026-09-24 15:00:00,42
REQ-00017,AST-ENG-160,Engineering,BZA-VSKP,track_defect,High,65,0.382,1,66,1,False,2026-09-30 00:00:00,2026-09-30 05:00:00,41
REQ-00018,AST-SNT-175,Signal & Telecom,NGP-BSL,signal_fault,Low,55,0.405,1,32,3,True,2026-09-09 15:00:00,2026-09-09 20:00:00,38
REQ-00019,AST-TRD-142,Traction Distribution,GHY-NJP,traction_fault,Medium,41,0.303,1,119,3,False,2026-09-27 22:00:00,2026-09-28 02:00:00,34
REQ-00020,AST-SNT-006,Signal & Telecom,NDLS-GZB,signal_fault,Medium,17,0.514,1,40,2,False,2026-09-17 04:00:00,2026-09-17 09:00:00,48
